attributnamn	value	Definition
undersokningstyp_tx	MiljogBiota_Fjall	Miljögifter i biota – fjäll
undersokningstyp_tx	MiljogBiota_Skog	Miljögifter i biota - skog
undersokningstyp_tx	MiljogYtvatten	Miljögifter i ytvatten
undersokningstyp_tx	MissbEmbryonVitmarla	Missbildade embryon av Vitmärla, Monoporeia affinis
undersokningstyp_tx	Okand	Okänt vilken övervakningsmanual som har använts
undersokningstyp_tx	OrgAmnenSed	Organiska ämnen i sediment
undersokningstyp_tx	OvervGrundvattKval_1_0	Övervakning av grundvattenkvalitet 1.0
undersokningstyp_tx	OvervGrundvattKval_1_1	Övervakning av grundvattenkvalitet 1.1
undersokningstyp_tx	PatGraVikareKnubbSal	Patologi hos gråsäl, vikaresäl och knubbsäl
undersokningstyp_tx	SedBasund	Sediment basundersökning
undersokningstyp_tx	SmagnagUnds_Fjall	Smågnagarövervakning – fjäll
undersokningstyp_tx	SmagnagUnds_Skog	Smågnagarövervakning – skog
provtagningssyfte_tx	AGP	Åtgärdsprogram eller motsvarande (t.ex. för hotade arter och bevarandeprojekt för arter och/eller naturtyper)
provtagningssyfte_tx	FOU	Forskning och utveckling
provtagningssyfte_tx	IKEU	Integrerad kalkeffektuppföljning
provtagningssyfte_tx	KARTL	Enstaka kartläggningar
provtagningssyfte_tx	KEU	Kalkeffektuppföljning
provtagningssyfte_tx	KO	Kommunal miljöövervakning
provtagningssyfte_tx	LMO	Lokal miljöövervakning
provtagningssyfte_tx	LMO-RK	Lokal miljöövervakning (recipientkontroll)
provtagningssyfte_tx	NMO	Nationell miljöövervakning
provtagningssyfte_tx	NMO_OMDREV_REF	Nationell miljöövervakning - omdrev refstat
provtagningssyfte_tx	NMO_TREND_GRVN	Nationell miljöövervakning - trendstationer - SGU
provtagningssyfte_tx	NMO_TREND_IM	Integrerad miljöövervakning - skog
provtagningssyfte_tx	NMO_TREND_REF	Nationell miljöövervakning - trendstationer - HaV
provtagningssyfte_tx	OVRIGT	Övrigt
provtagningssyfte_tx	PFAS_RU	Regeringsuppdrag Naturvårdsverket om att förbättra kunskapen om PFAS-förorenade områden
provtagningssyfte_tx	REG_OSPEC	Regional miljöövervakning - ospecificerad
provtagningssyfte_tx	RMO	Regional miljöövervakning
provtagningssyfte_tx	SAKNAS	Saknas, information ej tillgänglig
provtagningssyfte_tx	SCREENING	Screening
provtagningssyfte_tx	SRK	Samordnad recipientkontroll
provtagningssyfte_tx	verifierande-provt	Verifierande provtagning
provtagningsmetod_tx	AYA-ANTISCR	AYA antistatic screen cleaner (AVSTRYK)
provtagningsmetod_tx	Aggplockning	Äggplockning (BIOTA)
provtagningsmetod_tx	BOXCOR	Boxcorer (SEDIMENT)
provtagningsmetod_tx	Blandprov_0_20_cm	Blandprov av de översta 0-20 cm (MARK)
provtagningsmetod_tx	Blandprov_0_2_cm	Blandprov av de översta 0-2 cm (MARK)
provtagningsmetod_tx	Blandprov_2_3_cm	Blandprov av de översta 2-3 cm (MARK)
provtagningsmetod_tx	Blandprov_3_5_cm	Blandprov av de översta 3-5 cm (MARK)
provtagningsmetod_tx	Blandprov_5_15_cm	Blandprov av de översta 5-15 cm (MARK)
provtagningsmetod_tx	Blandprov_under_30_cm	Blandprov under 30 cm djup (SEDIMENT)
